,accepted_species,native_tdwg3_codes
280355,Theobroma bernoullii,"('CLM', 'PAN')"
280379,Hymenophyllum saenzianum,"('CLM', 'COS')"
280380,Hymenophyllum semiglabrum,"('CLM', 'COS', 'PAN')"
280399,Centrosema latidens,"('CLM', 'PER')"
280410,Cranichis brachyblephara,"('CLM',)"
280419,Rhodospatha moritziana,"('CLM', 'COS', 'ECU', 'PAN', 'PER', 'VEN')"
280475,Phoradendron brittonianum,"('BOL', 'CLM', 'ECU')"
280498,Cranichis monophylla,"('CLM', 'VEN')"
280499,Cranichis muscosa,"('BAH', 'BLZ', 'BOL', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'FLA', 'FRG', 'GUA', 'HAI', 'JAM', 'LEE', 'MXT', 'PAN', 'PER', 'PUE', 'TRT', 'VEN', 'WIN')"
280502,Dicorynia paraensis,"('BZN', 'CLM', 'PER', 'VEN')"
280516,Xyris guianensis,"('BZC', 'BZE', 'BZN', 'CLM', 'GUY', 'PER', 'SUR', 'VEN')"
280532,Cranichis roldanii,"('CLM',)"
280547,Myrsine perreticulata,"('CLM',)"
280561,Botrychium schaffneri,"('AGW', 'BOL', 'CLM', 'COS', 'ECU', 'GUA', 'HON', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PER')"
280571,Pavonia pseudotyphalaea,"('CLM',)"
280575,Phoradendron northropiae,"('BAH', 'BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'VEN')"
280583,Boehmeria caudata,"('AGE', 'AGW', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'ELS', 'GUA', 'HON', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PAR', 'PER', 'VEN')"
280606,Heliconia regalis,"('CLM', 'ECU')"
280646,Lamourouxia virgata,"('CLM', 'ECU', 'PER')"
280661,Centrosema venosum,"('BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'VEN')"
280669,Phoradendron megaphyllum,"('CLM',)"
280674,Dieffenbachia nitidipetiolata,"('CLM', 'PAN')"
280675,Dieffenbachia obscurinervia,"('CLM', 'PAN')"
280704,Dieffenbachia oerstedii,"('BLZ', 'CLM', 'COS', 'ECU', 'ELS', 'GUA', 'HON', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN')"
280706,Pouteria collina,"('CLM', 'ECU')"
280707,Pouteria silvestris,"('CLM', 'COS', 'ECU')"
280770,Poortmannia speciosa,"('CLM', 'ECU', 'PER')"
280799,Pholidostachys sanluisensis,"('CLM',)"
280801,Cranichis queremalensis,"('CLM',)"
280803,Cranichis schultesii,"('CLM',)"
280804,Cranichis pseudomuscosa,"('CLM', 'ECU', 'VEN')"
280839,Hymenophyllum jamesonii,"('CLM', 'ECU', 'VEN')"
280857,Phoradendron tardispicum,"('CLM', 'PAN')"
280869,Heliconia brachyantha,"('CLM', 'PAN', 'VEN')"
280895,Heliconia carmelae,"('CLM',)"
280897,Heliconia estiletioides,"('CLM',)"
280898,Heliconia impudica,"('CLM', 'ECU')"
280899,Heliconia lourteigiae,"('BZN', 'CLM', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')"
280962,Pavonia dasypetala,"('CLM', 'COS', 'HON', 'NIC', 'PAN', 'VEN')"
280969,Xyris wurdackii,"('CLM', 'VEN')"
280971,Quiina macrophylla,"('BLZ', 'BOL', 'BZE', 'BZN', 'CLM', 'COS', 'ECU', 'FRG', 'HON', 'NIC', 'PAN', 'PER', 'VEN')"
280994,Pouteria deliciosa,"('CLM', 'FRG', 'PER')"
280995,Rhodospatha densinervia,"('CLM', 'ECU')"
281051,Heteropterys floridana,"('CLM', 'PER')"
281052,Heliconia lentiginosa,"('CLM',)"
281083,Rondeletia disperma,"('CLM',)"
281084,Trichopilia aenigma,"('CLM', 'VEN')"
281088,Xyris subglabrata,"('BZN', 'CLM', 'VEN')"
281092,Perrottetia colorata,"('CLM',)"
281141,Phoradendron haughtii,"('CLM', 'VEN')"
281160,Trichopilia juninensis,"('CLM', 'PER')"
281220,Turnera curassavica,"('BLZ', 'CLM', 'COS', 'HON', 'MXS', 'MXT', 'NIC', 'NLA', 'VEN')"
281238,Apodanthes caseariae,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'NIC', 'PAN', 'PER', 'SUR', 'VEN')"
281244,Hymenophyllum elegantulum,"('BOL', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'GUA', 'HAI', 'HON', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'PUE', 'VEN')"
281274,Leptothrium rigidum,"('CLM', 'DOM', 'HAI', 'JAM', 'VEN')"
281310,Iochroma orozcoae,"('CLM',)"
281315,Phoradendron antioquianum,"('CLM',)"
281327,Pouteria vernicosa,"('BZN', 'CLM', 'PER')"
281331,Cranichis lehmannii,"('BOL', 'CLM', 'ECU', 'PER')"
281332,Cranichis nigrescens,"('CLM', 'COS')"
281333,Cranichis viereckii,"('CLM', 'ECU')"
281340,Macroclinium dentiferum,"('CLM',)"
281351,Xyris lomatophylla,"('BZN', 'CLM', 'VEN')"
281359,Cranichis brevirostris,"('CLM', 'VEN')"
281360,Cranichis rotundifolia,"('CLM',)"
281401,Phoradendron killipii,"('CLM',)"
281411,Heteropterys aureonitens,"('CLM',)"
281432,Heliconia lasiorachis,"('BOL', 'BZN', 'CLM', 'PER')"
281433,Heliconia meridensis,"('CLM', 'VEN')"
281500,Alternanthera flavescens,"('AGW', 'BLZ', 'BOL', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'ECU', 'LEE', 'MXT', 'PAR', 'PER', 'VEN', 'WIN')"
281518,Dieffenbachia enderi,"('CLM',)"
281555,Botrychium underwoodianum,"('CLM', 'COS', 'DOM', 'ECU', 'ELS', 'GAL', 'HAI', 'HON', 'JAM', 'PAN', 'VEN')"
281565,Woodsia peruviana,"('CLM', 'ECU', 'GAL', 'PER', 'VEN')"
281574,Phoradendron dipterum,"('AGE', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'ECU', 'GUY', 'HAI', 'HON', 'JAM', 'MXC', 'MXG', 'MXS', 'NIC', 'PAN', 'PAR', 'PER', 'PUE', 'SUR', 'TRT', 'VEN', 'WIN')"
281582,Trichopilia turialbae,"('CLM', 'COS', 'NIC', 'PAN')"
281584,Pouteria putamen-ovi,"('BZN', 'CLM', 'FRG', 'PER')"
281585,Pouteria scrobiculata,"('BZN', 'CLM', 'GUY', 'VEN')"
281586,Pouteria simulans,"('CLM', 'ECU', 'PAN', 'PER', 'VEN')"
281592,Cranichis crumenifera,"('CLM', 'ECU')"
281680,Syngonanthus cowanii,"('CLM', 'VEN')"
281714,Schoenobiblus amazonica,"('CLM', 'VEN')"
281760,Heliconia hirsuta,"('AGE', 'BLZ', 'BOL', 'BZC', 'BZL', 'BZN', 'BZS', 'CLM', 'ECU', 'FRG', 'GUY', 'HON', 'NIC', 'PAN', 'PAR', 'PER', 'SUR', 'TRT', 'VEN')"
281763,Xyris columbiana,"('CLM', 'VEN')"
281812,Turnera scabra,"('BLZ', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'ECU', 'ELS', 'GUA', 'GUY', 'HON', 'MXS', 'MXT', 'NIC', 'PAN', 'VEN', 'VNA')"
281817,Heteropterys siderosa,"('BZN', 'CLM', 'FRG', 'GUY', 'VEN')"
281832,Hymenophyllum plumieri,"('BOL', 'CLM', 'ECU', 'GAL', 'PER', 'VEN')"
281865,Dieffenbachia grayumiana,"('CLM', 'COS', 'PAN')"
281866,Pouteria macrocarpa,"('BZL', 'BZN', 'CLM', 'FRG')"
281883,Galphimia gracilis,"('BZE', 'CLM', 'ELS', 'GUA', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PER')"
281890,Discophora montana,"('CLM', 'PER')"
281932,Heliconia nitida,"('CLM',)"
281939,Cranichis cylindrostachys,"('CLM', 'ECU')"
281941,Cranichis wageneri,"('CLM', 'COS', 'DOM', 'ELS', 'GUA', 'HAI', 'HON', 'JAM', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
281956,Xyris savanensis,"('AGE', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'FRG', 'GUY', 'PAR', 'PER', 'SUR', 'VEN')"
281958,Xyris subuniflora,"('BZN', 'CLM', 'GUY', 'SUR', 'VEN')"
282005,Rhodospatha herrerae,"('CLM',)"
282009,Phoradendron woodsonii,"('CLM', 'COS', 'ECU', 'NIC', 'PAN', 'PER')"
282024,Heliconia aemygdiana,"('BOL', 'BZL', 'CLM', 'ECU', 'FRG', 'PER')"
282031,Himatanthus semilunatus,"('BZN', 'CLM', 'VEN')"
282045,Heliconia chartacea,"('BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')"
282046,Heliconia dielsiana,"('CLM', 'ECU', 'PER')"
282049,Heliconia signa-hispanica,"('CLM',)"
282093,Turnera pumilea,"('AGE', 'ARU', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'CUB', 'DOM', 'FRG', 'GUA', 'HAI', 'HON', 'JAM', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'NLA', 'PAR', 'PER', 'PUE', 'VEN')"
282105,Hymenophyllum crassipetiolatum,"('CLM', 'ELS', 'GUA', 'HON', 'MXT', 'NIC')"
282115,Heliconia samperiana,"('CLM',)"
282139,Pouteria leptopedicellata,"('CLM', 'COS', 'ECU', 'PAN')"
282209,Theobroma nervosum,"('CLM', 'ECU')"
282216,Pouteria bracteata,"('CLM', 'COS', 'ECU', 'NIC', 'PAN')"
282218,Pouteria stipitata,"('BZN', 'CLM', 'PAN', 'VEN')"
282222,Cranichis diphylla,"('BOL', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'ELS', 'FRG', 'GUA', 'HON', 'JAM', 'MXT', 'PAN', 'PER', 'PUE', 'SUR', 'VEN')"
282239,Xyris aquatica,"('BOL', 'BZN', 'CLM', 'VEN')"
282243,Xyris navicularis,"('BLZ', 'CLM', 'CUB', 'HON', 'NIC')"
282244,Xyris subulata,"('BOL', 'CLM', 'COS', 'ECU', 'GUY', 'PAN', 'PER', 'VEN')"
282245,Xyris uleana,"('BZC', 'BZN', 'CLM', 'GUY', 'SUR', 'VEN')"
282253,Cranichis popayanensis,"('CLM',)"
282275,Hymenophyllum schomburgkii,"('BZE', 'BZL', 'BZS', 'CLM', 'COS', 'FRG', 'GUY', 'SUR', 'VEN')"
282293,Phoradendron laxiflorum,"('BOL', 'BZN', 'CLM', 'ECU', 'PER')"
282296,Phoradendron heterostachyum,"('CLM',)"
282304,Pavonia angustifolia,"('BOL', 'BZC', 'BZL', 'BZN', 'CLM', 'GUY', 'VEN')"
282315,Quiina blackii,"('BOL', 'BZN', 'CLM', 'ECU', 'PER')"
282340,Heliconia mucilagina,"('CLM',)"
282341,Heliconia schumanniana,"('BZN', 'CLM', 'ECU', 'PER')"
282387,Theobroma nemorale,"('CLM',)"
282434,Cranichis longipetiolata,"('CLM', 'ECU', 'PER')"
282435,Cranichis polyblephara,"('CLM',)"
282436,Rhodospatha guasareensis,"('CLM', 'VEN')"
282472,Hymenophyllum platylobum,"('BOL', 'CLM', 'ECU', 'PER')"
282492,Phoradendron balslevii,"('CLM', 'ECU')"
282496,Heliconia laxa,"('CLM',)"
282497,Pouteria egregia,"('BZE', 'BZN', 'CLM', 'FRG', 'GUY', 'SUR', 'VEN')"
282498,Pouteria subrotata,"('CLM', 'COS', 'ECU', 'NIC', 'PAN', 'PER', 'VEN')"
282548,Escallonia discolor,"('CLM',)"
282561,Hymenophyllum trapezoidale,"('BOL', 'CLM', 'COS', 'GUA', 'HON', 'MXC', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'SUR', 'VEN')"
282572,Pavonia peruviana,"('BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'ECU', 'NIC', 'PAN', 'PER')"
282575,Phoradendron palaephyllum,"('CLM',)"
282581,Heteropterys macrostachya,"('BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'COS', 'ECU', 'FRG', 'GUA', 'GUY', 'HON', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'SUR', 'TRT', 'VEN', 'VNA', 'WIN')"
282585,Romeroa verticillata,"('CLM',)"
282602,Heliconia huilensis,"('CLM',)"
282605,Heliconia spathocircinata,"('BOL', 'BZE', 'BZL', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PAN', 'PER', 'SUR', 'TRT', 'VEN')"
282606,Heliconia spiralis,"('CLM',)"
282607,Heliconia stella-maris,"('CLM',)"
282639,Dipteryx polyphylla,"('BZN', 'CLM')"
282650,Hymenophyllum ferax,"('BOL', 'CLM', 'ECU', 'PER', 'VEN')"
282661,Hymenophyllum dependens,"('CLM', 'ECU', 'GUY', 'TRT', 'VEN')"
282663,Hymenophyllum silvaticum,"('CLM',)"
282687,Rhodospatha oblongata,"('BZE', 'BZN', 'CLM', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')"
282784,Odontonema ampelocaule,"('CLM',)"
282833,Pavonia oxyphyllaria,"('BOL', 'BZN', 'CLM', 'COS', 'ECU', 'PAN', 'PER')"
282837,Phoradendron longipetiolatum,"('CLM', 'VEN')"
282838,Phoradendron inaequidentatum,"('BOL', 'BZC', 'BZE', 'BZN', 'BZS', 'CLM', 'ECU', 'FRG', 'GUY', 'PAN', 'PER', 'SUR', 'TRT', 'VEN', 'VNA')"
282844,Heliconia griggsiana,"('CLM', 'ECU')"
282845,Heliconia juruana,"('BOL', 'BZN', 'CLM', 'ECU', 'PER')"
282871,Micropholis maguirei,"('BZN', 'CLM', 'VEN')"
282876,Heliconia wagneriana,"('BLZ', 'CLM', 'COS', 'ECU', 'GUA', 'HON', 'MXT', 'PAN', 'TRT', 'VEN')"
282951,Dieffenbachia antioquensis,"('CLM',)"
282952,Dieffenbachia costata,"('CLM', 'ECU', 'PER')"
283000,Boehmeria celtidifolia,"('BOL', 'CLM', 'ECU', 'PAN', 'PER', 'VEN')"
283015,Cranichis ovatilabia,"('CLM',)"
283032,Xyris teinosperma,"('BZN', 'CLM', 'VEN')"
283089,Trichopilia brevis,"('CLM', 'PER', 'VEN')"
283091,Centrosema vexillatum,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'CLM', 'GUY', 'PAN', 'PAR', 'PER', 'SUR', 'VEN')"
283108,Heliconia mincana,"('CLM',)"
283109,Heliconia rigida,"('CLM',)"
283126,Lepidium costaricense,"('BLZ', 'CLM', 'COS', 'ELS', 'GUA', 'HON', 'MXC', 'MXE', 'MXG', 'MXT', 'NIC', 'PAN')"
283172,Hymenophyllum angustum,"('BOL', 'BZN', 'CLM', 'VEN')"
283189,Macroclinium escobarianum,"('CLM',)"
283207,Cranichis cucullata,"('CLM', 'ECU')"
283208,Cranichis polyantha,"('BOL', 'CLM', 'ECU', 'PAN', 'PER')"
283209,Pouteria trilocularis,"('BOL', 'BZC', 'BZN', 'CLM', 'COS', 'ECU', 'PER', 'VEN')"
283241,Malpighia albiflora,"('CLM', 'COS', 'NIC', 'PAN')"
283252,Odontonema sessile,"('CLM',)"
283259,Theobroma schultesii,"('CLM', 'ECU', 'PER')"
283261,Phoradendron briquetianum,"('CLM',)"
283262,Phoradendron colombianum,"('CLM', 'ECU', 'VEN')"
283286,Pholidostachys dactyloides,"('CLM', 'ECU', 'PAN')"
283291,Xyris cuatrecasasiana,"('CLM',)"
283294,Xyris surinamensis,"('BZN', 'CLM', 'FRG', 'GUY', 'SUR', 'VEN')"
283297,Daiotyla xanthina,"('CLM',)"
283298,Perrottetia guacharana,"('CLM',)"
283300,Pholidostachys occidentalis,"('CLM', 'ECU')"
283301,Cranichis cristalinensis,"('CLM',)"
283302,Cranichis juajibioyi,"('CLM',)"
283336,Phoradendron crassicarpum,"('CLM',)"
283338,Pavonia paniculata,"('BLZ', 'BOL', 'CLM', 'COS', 'CPI', 'DOM', 'ECU', 'ELS', 'GUA', 'GUY', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'PUE', 'VEN', 'WIN')"
283339,Phoradendron robaloense,"('CLM', 'COS', 'NIC', 'PAN')"
283350,Xyris oxylepis,"('CLM', 'VEN')"
283377,Heliconia chrysocraspeda,"('CLM',)"
283378,Heliconia fragilis,"('CLM',)"
283379,Heliconia holmquistiana,"('CLM',)"
283380,Heliconia montana,"('CLM',)"
283382,Heliconia reptans,"('CLM',)"
283383,Heliconia rostrata,"('BOL', 'CLM', 'ECU', 'PER')"
283451,Hymenophyllum multialatum,"('CLM', 'ECU', 'PER')"
283457,Hymenophyllum subrigidum,"('CLM', 'COS', 'PAN', 'VEN')"
283461,Phoradendron restrepoae,"('CLM',)"
283488,Centrosema acutifolium,"('BZC', 'BZL', 'BZN', 'CLM', 'HON', 'VEN')"
283507,Rhodospatha latifolia,"('BOL', 'BZE', 'BZL', 'BZN', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'TRT', 'VEN')"
283573,Phoradendron fasciculatum,"('CLM', 'PAN')"
283611,Perrottetia simplicissima,"('CLM',)"
283666,Trichopilia hennisiana,"('CLM', 'ECU')"
283682,Heliconia estherae,"('CLM',)"
283684,Heliconia obscuroides,"('CLM', 'ECU', 'PER')"
283687,Heliconia xanthovillosa,"('CLM', 'PAN')"
283746,Hymenophyllum axillare,"('BOL', 'BZN', 'CLM', 'CUB', 'DOM', 'HAI', 'JAM', 'PUE', 'VEN')"
283752,Hymenophyllum sodiroi,"('CLM', 'ECU')"
283759,Pavonia sidifolia,"('AGE', 'BOL', 'BZC', 'BZE', 'BZL', 'CLM', 'MXS', 'MXT', 'PAN', 'PAR', 'PER', 'VEN')"
283791,Cranichis picta,"('CLM', 'ECU')"
283792,Cranichis schlimii,"('CLM', 'ECU', 'VEN')"
283793,Dieffenbachia cannifolia,"('CLM', 'ECU', 'PER')"
283795,Rhodospatha pellucida,"('CLM', 'COS', 'ECU', 'NIC', 'PAN')"
283804,Lepidium bipinnatifidum,"('BOL', 'CLM', 'ECU', 'MXC', 'MXN', 'MXS', 'PER', 'VEN')"
283841,Dipteryx micrantha,"('BZC', 'BZN', 'CLM', 'ECU', 'PER')"
283859,Phoradendron exiguum,"('CLM', 'VEN')"
283863,Heliconia latispatha,"('BLZ', 'CLM', 'COS', 'ECU', 'ELS', 'GUA', 'HON', 'MXE', 'MXG', 'MXS', 'MXT', 'NIC', 'PAN', 'PER', 'VEN')"
283865,Rondeletia pubescens,"('CLM',)"
283871,Pouteria guianensis,"('BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'ECU', 'FRG', 'GUY', 'PAN', 'PER', 'SUR', 'TRT', 'VEN')"
283890,Trichopilia maculata,"('CLM', 'COS', 'ELS', 'GUA', 'HON', 'PAN')"
283897,Xyris frequens,"('CLM', 'VEN')"
283902,Xyris spruceana,"('BZN', 'CLM', 'VEN')"
283905,Cranichis killipii,"('CLM', 'ECU')"
283936,Hymenophyllum lanatum,"('CLM', 'COS', 'CUB', 'DOM', 'GUA', 'JAM', 'LEE', 'MXS', 'MXT', 'PAN', 'PUE', 'SUR', 'VEN', 'WIN')"
283937,Phoradendron betancurii,"('CLM',)"
283953,Heteropterys riparia,"('CLM', 'PER')"
283985,Heliconia vellerigera,"('CLM', 'ECU', 'PER')"
283986,Heliconia venusta,"('CLM', 'ECU')"
284007,Guapira cuspidata,"('BZN', 'CLM', 'GUY', 'SUR', 'TRT', 'VEN')"
284062,Rondeletia eriantha,"('CLM',)"
284143,Cranichis carlos-parrae,"('CLM',)"
284157,Pouteria juruana,"('BZN', 'CLM', 'COS', 'ECU', 'PAN', 'PER')"
284158,Pouteria oblanceolata,"('BZE', 'BZN', 'CLM', 'ECU', 'FRG', 'PER', 'VEN')"
284159,Dieffenbachia parlatorei,"('CLM', 'VEN')"
284177,Perrottetia quinduensis,"('CLM', 'ECU', 'VEN')"
284178,Perrottetia maxima,"('CLM',)"
284237,Heteropterys berteroana,"('CLM', 'ECU', 'VEN')"
284240,Heliconia gaiboriana,"('CLM', 'ECU')"
284267,Heliconia nigripraefixa,"('CLM', 'ECU', 'PAN')"
284268,Heliconia rhodantha,"('CLM',)"
284307,Dipteryx rosea,"('BZN', 'CLM', 'VEN')"
284315,Theobroma gileri,"('CLM', 'ECU')"
284321,Iochroma baumii,"('CLM', 'ECU')"
284330,Hymenophyllum farallonense,"('CLM',)"
284347,Quiina florida,"('BOL', 'BZC', 'BZE', 'BZN', 'CLM', 'ECU', 'PER', 'VEN')"
284364,Cranichis atrata,"('CLM',)"
284366,Dieffenbachia parvifolia,"('BOL', 'BZN', 'CLM', 'ECU', 'PER', 'VEN')"
284369,Rhodospatha brachypoda,"('BOL', 'CLM', 'ECU', 'FRG', 'GUY', 'PER', 'SUR', 'VEN')"
284432,Pouteria nudipetala,"('BZN', 'CLM', 'ECU', 'PER')"
284449,Xyris esmeraldae,"('BZN', 'CLM', 'VEN')"
284452,Xyris jupicai,"('AGE', 'ALA', 'ARK', 'BLZ', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'COS', 'CUB', 'DEL', 'DOM', 'FLA', 'FRG', 'GEO', 'GUA', 'GUY', 'HON', 'ILL', 'JAM', 'LOU', 'MRY', 'MSI', 'MXE', 'MXG', 'MXT', 'NCA', 'NIC', 'NWJ', 'OKL', 'PAN', 'PAR', 'PER', 'PUE', 'SCA', 'SUR', 'TEN', 'TEX', 'TRT', 'URU', 'VEN', 'VRG')"
284465,Cranichis badia,"('CLM', 'ECU', 'VEN')"
284489,Escallonia myrtilloides,"('AGW', 'BOL', 'CLM', 'COS', 'ECU', 'PAN', 'PER', 'VEN')"
284503,Hymenophyllum lehmannii,"('BOL', 'CLM', 'GAL', 'GUY', 'VEN')"
284521,Heteropterys racemosa,"('BOL', 'BZC', 'BZN', 'CLM')"
284547,Micropholis brochidodroma,"('CLM', 'ECU', 'PER')"
284549,Heliconia combinata,"('CLM',)"
284550,Heliconia osaensis,"('CLM', 'COS', 'HON', 'NIC', 'PAN')"
284552,Heliconia velutina,"('BZN', 'CLM', 'ECU', 'PER')"
284616,Hymenophyllum mathewsii,"('BOL', 'CLM', 'ECU', 'PER')"
284624,Phoradendron mairaryense,"('BZC', 'BZE', 'BZN', 'CLM', 'GUY', 'VEN')"
284630,Pavonia sepioides,"('BOL', 'CLM', 'ECU', 'PER', 'VEN')"
284704,Phoradendron eggersii,"('CLM', 'ECU', 'VEN')"
284714,Phoradendron fonsecanum,"('CLM',)"
284793,Heteropterys occidentalis,"('CLM', 'ECU', 'PER')"
284806,Cranichis gibbosa,"('CLM', 'ECU')"
284823,Xyris trachysperma,"('CLM',)"
284853,Hymenophyllum interruptum,"('BOL', 'CLM', 'HAI', 'VEN')"
284876,Heliconia atropurpurea,"('CLM', 'COS', 'PAN')"
284893,Heliconia intermedia,"('CLM',)"
284894,Heliconia metallica,"('BOL', 'BZN', 'CLM', 'COS', 'ECU', 'HON', 'NIC', 'PAN', 'PER', 'VEN')"
284895,Heliconia nariniensis,"('CLM', 'ECU')"
284946,Phoradendron retrophyllum,"('CLM',)"
285034,Phoradendron ernstianum,"('CLM', 'ECU', 'PER')"
285086,Xyris terrestris,"('CLM', 'VEN')"
285089,Perrottetia gentryi,"('BOL', 'CLM', 'PER')"
285095,Cranichis neglecta,"('CLM',)"
285125,Boehmeria pavonii,"('BOL', 'BZC', 'BZL', 'BZN', 'CLM', 'ECU', 'GUA', 'MXT', 'PAN', 'PAR', 'PER')"
285126,Heteropterys colombiana,"('CLM',)"
285149,Heteropterys rudasii,"('CLM',)"
285152,Heliconia burleana,"('CLM', 'ECU', 'PER')"
285184,Heliconia berriziana,"('CLM',)"
285188,Heliconia standleyi,"('CLM', 'ECU', 'PER')"
285189,Heliconia vaginalis,"('CLM', 'COS', 'ECU', 'PAN')"
285197,Cynanchum riometense,"('CLM',)"
285249,Quiina rhytidopus,"('BOL', 'BZC', 'BZL', 'BZN', 'CLM', 'ECU', 'GUY', 'PER', 'VEN')"
285252,Hymenophyllum consanguineum,"('CLM', 'COS', 'HON', 'NIC', 'PAN')"
285256,Hymenophyllum plumosum,"('BOL', 'BZL', 'BZS', 'CLM', 'COS', 'ECU', 'PAN', 'PER')"
285273,Alternanthera caracasana,"('AGE', 'AGW', 'BOL', 'CLM', 'COS', 'CUB', 'DOM', 'ECU', 'HAI', 'HON', 'JAM', 'LEE', 'MXC', 'MXE', 'MXG', 'MXN', 'MXS', 'MXT', 'NIC', 'PER', 'PUE', 'TRT', 'VEN', 'WIN')"
285349,Conchocarpus kallunkiae,"('CLM',)"
285401,Xyris araracuarae,"('CLM',)"
285405,Xyris involucrata,"('BZN', 'CLM', 'GUY', 'SUR', 'VEN')"
285408,Perrottetia calva,"('CLM',)"
285432,Mitrastemon matudae,"('CLM', 'GUA', 'HON', 'MXS', 'MXT')"
285448,Hymenophyllum karstenianum,"('CLM', 'PER', 'VEN')"
285461,Phoradendron uniseriale,"('CLM',)"
285470,Heteropterys aureosericea,"('BZN', 'CLM', 'ECU', 'PER')"
285497,Heliconia foreroi,"('CLM',)"
285498,Heliconia lozanoi,"('CLM',)"
285499,Heliconia trichocarpa,"('CLM', 'COS', 'PAN')"
285501,Dieffenbachia isthmia,"('CLM', 'PAN')"
285506,Lepidium trianae,"('CLM', 'ECU')"
285534,Hymenophyllum cristatum,"('BOL', 'CLM', 'ECU')"
285541,Pavonia rhizophorae,"('CLM', 'ECU', 'PAN')"
285556,Alternanthera albotomentosa,"('CLM', 'ECU', 'GAL', 'PER', 'VEN')"
285558,Alternanthera congesta,"('CLM', 'VEN')"
285579,Rhodospatha rupicola,"('CLM',)"
285631,Trichopilia suavis,"('CLM', 'COS', 'PAN')"
285640,Cranichis engelii,"('CLM', 'ECU', 'VEN')"
285651,Xyris paraensis,"('BLZ', 'BZE', 'BZN', 'CLM', 'FRG', 'GUY', 'SUR', 'TRT', 'VEN')"
285654,Pholidostachys panamensis,"('CLM', 'PAN')"
285655,Cranichis pennellii,"('CLM',)"
285687,Hymenophyllum trichophyllum,"('BOL', 'BZN', 'CLM', 'COS', 'ECU', 'GUA', 'GUY', 'HON', 'PAN', 'PER', 'VEN')"
285689,Hymenophyllum lobatoalatum,"('CLM', 'ECU', 'PER')"
285702,Heteropterys lonicerifolia,"('CLM', 'VEN')"
285725,Heliconia caquetensis,"('CLM',)"
285726,Heliconia fernandezii,"('CLM',)"
285727,Heliconia gilbertiana,"('CLM',)"
285728,Heliconia oleosa,"('CLM',)"
285729,Heliconia pastazae,"('CLM', 'ECU')"
285732,Heliconia tacarcunae,"('CLM', 'PAN')"
285741,Dieffenbachia killipii,"('CLM', 'PAN')"
285753,Cynanchum mariquitense,"('CLM',)"
285754,Cynanchum montevidense,"('AGE', 'AGW', 'BOL', 'BZC', 'BZE', 'BZL', 'BZN', 'BZS', 'CLM', 'JAM', 'PAN', 'PAR', 'PER', 'URU', 'VEN')"
285780,Theobroma hylaeum,"('CLM', 'PAN')"
285783,Turnera lineata,"('BZN', 'CLM', 'GUY', 'VEN')"
285798,Hymenophyllum pyramidatum,"('BOL', 'CLM', 'PER')"
285802,Phoradendron madisonii,"('CLM', 'ECU')"
285834,Dieffenbachia bowmanni,"('BZN', 'CLM')"
